concept(s) level 0,concept(s) level 1,normalized+name
"Chemistry, Geology",Mineralogy,mineralogy
"Chemistry, Materials science",Polymer science,polymer+science
"Chemistry, Materials science",Polymer chemistry,polymer+chemistry
"Chemistry, Physics",Chemical physics,chemical+physics
"Chemistry, Physics",Molecular physics,molecular+physics
Computer science,Real-time computing,real+time+computing
Computer science,Computer security,computer+security
Computer science,Operating system,operating+system
Computer science,World Wide Web,world+wide+web
Computer science,Computer network,computer+network
Computer science,Library science,library+science
Computer science,Knowledge management,knowledge+management
Computer science,Human–computer interaction,human+computer+interaction
Computer science,Theoretical computer science,theoretical+computer+science
Computer science,Computer graphics (images),computer+graphics+images
Computer science,Computer hardware,computer+hardware
Computer science,Speech recognition,speech+recognition
Computer science,Multimedia,multimedia
Computer science,Database,database
Computer science,Information retrieval,information+retrieval
Computer science,Parallel computing,parallel+computing
Computer science,Internet privacy,internet+privacy
Computer science,Computer architecture,computer+architecture
Computer science,Computer vision,computer+vision
Computer science,Natural language processing,natural+language+processing
Computer science,Data mining,data+mining
Computer science,Data science,data+science
Computer science,Distributed computing,distributed+computing
Computer science,Machine learning,machine+learning
Computer science,Artificial intelligence,artificial+intelligence
Computer science,Programming language,programming+language
"Computer science, Engineering",Telecommunications,telecommunications
"Computer science, Engineering",Software engineering,software+engineering
"Computer science, Engineering",Computer engineering,computer+engineering
"Computer science, Engineering",Embedded system,embedded+system
"Computer science, Engineering",Simulation,simulation
"Computer science, Mathematics",Computational science,computational+science
"Computer science, Mathematics",Algorithm,algorithm
Economics,Agricultural economics,agricultural+economics
Economics,Natural resource economics,natural+resource+economics
Economics,Keynesian economics,keynesian+economics
Economics,Economic growth,economic+growth
Economics,Demographic economics,demographic+economics
Economics,Economy,economy
Economics,Neoclassical economics,neoclassical+economics
Economics,Management,management
Economics,Environmental economics,environmental+economics
Economics,Development economics,development+economics
Economics,Positive economics,positive+economics
Economics,Market economy,market+economy
Economics,Labour economics,labour+economics
Economics,Macroeconomics,macroeconomics
Economics,Monetary economics,monetary+economics
Economics,Welfare economics,welfare+economics
Economics,International economics,international+economics
Economics,Public economics,public+economics
Economics,Microeconomics,microeconomics
Economics,Financial economics,financial+economics
Economics,Classical economics,classical+economics
Economics,Economic system,economic+system
"Economics, Engineering",Operations management,operations+management
"Economics, Engineering",Management science,management+science
"Economics, Environmental science",Environmental resource management,environmental+resource+management
"Economics, Geography",Economic geography,economic+geography
"Economics, History",Economic history,economic+history
"Economics, Mathematics",Econometrics,econometrics
"Economics, Mathematics",Mathematical economics,mathematical+economics
"Economics, Sociology",Socioeconomics,socioeconomics
"Economics, Sociology",Political economy,political+economy
"Economics, Sociology",Law and economics,law+and+economics
Engineering,Aeronautics,aeronautics
Engineering,Manufacturing engineering,manufacturing+engineering
Engineering,Process engineering,process+engineering
Engineering,Forensic engineering,forensic+engineering
Engineering,Electrical engineering,electrical+engineering
Engineering,Reliability engineering,reliability+engineering
Engineering,Waste management,waste+management
Engineering,Systems engineering,systems+engineering
Engineering,Marine engineering,marine+engineering
Engineering,Aerospace engineering,aerospace+engineering
Engineering,Engineering ethics,engineering+ethics
Engineering,Chemical engineering,chemical+engineering
Engineering,Biochemical engineering,biochemical+engineering
Engineering,Control engineering,control+engineering
Engineering,Industrial engineering,industrial+engineering
Engineering,Structural engineering,structural+engineering
Engineering,Nuclear engineering,nuclear+engineering
Engineering,Automotive engineering,automotive+engineering
Engineering,Pulp and paper industry,pulp+and+paper+industry
Engineering,Architectural engineering,architectural+engineering
Engineering,Engineering management,engineering+management
Engineering,Electronic engineering,electronic+engineering
Engineering,Agricultural engineering,agricultural+engineering
Engineering,Engineering drawing,engineering+drawing
Engineering,Civil engineering,civil+engineering
Engineering,Transport engineering,transport+engineering
Engineering,Construction engineering,construction+engineering
Engineering,Mechanical engineering,mechanical+engineering
"Engineering, Environmental science",Environmental engineering,environmental+engineering
"Engineering, Geology",Geotechnical engineering,geotechnical+engineering
